lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,rate,executors,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.11931880048333333,14.377155572916667,4.0,12569.0,1948.0,7173.25,0.023908270309831666
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.059952462916666664,10.727916155183333,4.0,12052.0,2378.0,7174.75,0.03547161922018189
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.05156449601666667,15.697466110033334,4.0,12650.0,2188.0,7134.75,0.019166754266092014
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.06862835678333333,12.4254000065,4.0,10632.0,3581.0,7160.75,0.024368955765806655
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.05787599043333334,13.619011738383334,4.0,10016.0,3853.0,7064.25,0.02675443252999257
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.05896153565,24.74045092335,4.0,29438.0,6583.0,17714.75,0.03193666295036622
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.04749394675,24.070002836016666,4.0,29186.0,6976.0,17796.25,0.030835147854182763
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.04895450093333333,28.328571995666668,4.0,30034.0,7592.0,17873.0,0.02706596542270464
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.0530146802,28.076170923566668,4.0,28257.0,7741.0,17741.0,0.024928132574263007
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.07849201515,28.731243898133332,4.0,28681.0,6143.0,17782.25,0.02820228036384597
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.05728274495,54.919225706616665,4.0,54293.0,18718.0,35578.75,0.02590731827284545
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.07086620136666667,54.19932795056667,4.0,57653.0,15746.0,35546.5,0.026845118366083862
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.06322247148333333,64.67865595876667,4.0,58056.0,15834.0,35692.25,0.023198313359342713
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.059862850083333335,56.39637843291667,4.0,58306.0,13066.0,35639.25,0.024579641827479536
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.5,2,0.06368364686666667,53.04674317806667,4.0,56327.0,14939.0,35598.5,0.026377515906569098
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.06717102976666667,79.44567849133334,4.0,77834.0,25688.0,53305.5,0.030897374567352337
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.06490441045,83.8897507712,4.0,83722.0,27016.0,53432.25,0.024900691997810313
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.07317155081666667,91.55747167188333,4.0,87434.0,19391.0,53477.75,0.021424798163722295
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.06676203608333334,86.9455064878,4.0,81149.0,22811.0,53439.75,0.02678717621246357
hyperplanes,0.1,2,1,true,4,1000,6,drop3,0.75,2,0.07133569516666667,85.65301180155,4.0,83391.0,24574.0,53424.75,0.02547040463455608
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.0789081172,97.35910806278333,4.0,103905.0,38016.0,71201.75,0.029778060230261194
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.0745508614,102.06997580275,4.0,110989.0,33472.0,71201.75,0.026038685846906853
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.06608501631666666,106.33884504655,4.0,113211.0,31905.0,71201.75,0.02300856369401033
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.0685876026,103.70453883558334,4.0,118899.0,28617.0,71201.75,0.026098375391054293
hyperplanes,0.1,2,1,true,4,1000,6,drop3,1.0,2,0.06345740245,106.55404420038333,4.0,118761.0,28505.0,71201.75,0.024939696004662806
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.05042895233333333,3.1922412270166665,4.0,10355.0,4136.0,7112.0,0.015044994375703037
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.04836770801666666,3.1165331906666665,4.0,11214.0,3411.0,7094.5,0.016844034110931
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.05155120365,3.09767250135,4.0,11107.0,3555.0,7183.5,0.01482564209647108
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.04119438505,3.0483159917,4.0,11867.0,2881.0,7125.0,0.01873684210526316
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.1,2,0.038895965416666664,3.2453501752,4.0,11790.0,2977.0,7113.0,0.017292281737663433
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.06881188958333333,3.4175564580833333,4.0,29220.0,7430.0,17797.75,0.01989015465438047
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.04952048581666667,3.328058743466667,4.0,29445.0,7205.0,17833.25,0.016500077103164035
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.05245306931666667,3.3353280146333333,4.0,27290.0,8842.0,17862.25,0.019916303937073998
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.049319324266666666,3.39029314075,4.0,30784.0,5654.0,17801.25,0.02098167263534864
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.25,2,0.0521354277,3.13709043835,4.0,28855.0,8575.0,17784.25,0.018640088842655722
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.5,2,0.05309126636666667,5.12629515035,4.0,55913.0,17548.0,35599.25,0.02016896423379706
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.5,2,0.07442727445,4.9836985978833335,4.0,58193.0,11166.0,35514.75,0.01930887870532666
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.5,2,0.0535485484,5.08147807305,4.0,60581.0,11664.0,35648.75,0.017630351695360987
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.5,2,0.05778484626666667,5.124934672533334,4.0,56475.0,12976.0,35621.25,0.01806505947994526
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.5,2,0.06321301606666667,5.033967636433333,4.0,59834.0,15966.0,35639.75,0.02015305943504093
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.75,2,0.07319081896666667,5.172155625133334,4.0,100437.0,13839.0,53437.0,0.018994329771506634
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.75,2,0.06226756585,5.19433010205,4.0,87103.0,23881.0,53389.25,0.01882869678821111
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.75,2,0.060620453416666664,5.36795235595,4.0,86684.0,16692.0,53361.25,0.019780271264260112
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.75,2,0.06549339685,5.1105405023,4.0,88004.0,19531.0,53355.25,0.017697414968536367
hyperplanes,0.1,2,1,true,4,1000,6,entropy,0.75,2,0.07223652355,5.112447810833333,4.0,84366.0,28552.0,53319.5,0.01854387231688219
hyperplanes,0.1,2,1,true,4,1000,6,entropy,1.0,2,0.06945179386666667,5.361994508866666,4.0,117086.0,26374.0,71201.75,0.018746028011951955
hyperplanes,0.1,2,1,true,4,1000,6,entropy,1.0,2,0.07095940723333333,5.505865652833333,4.0,107369.0,35366.0,71201.75,0.018861895950591102
hyperplanes,0.1,2,1,true,4,1000,6,entropy,1.0,2,0.07445226025,5.477842546533333,4.0,116254.0,26138.0,71201.75,0.01899883078716464
hyperplanes,0.1,2,1,true,4,1000,6,entropy,1.0,2,0.07137168896666667,5.38737953845,4.0,106681.0,39433.0,71201.75,0.018057842679428525
hyperplanes,0.1,2,1,true,4,1000,6,entropy,1.0,2,0.0752024505,5.5619114156,4.0,118318.0,26744.0,71201.75,0.01854238133191951
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.13013309623333333,0.33691219845,3461.0,103.0,1.0,8.219300780121353,0.2586212957429606
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.12872003871666668,0.2874082179333333,2736.0,144.0,1.0,10.358187134502923,0.21729004940014116
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.11505080018333333,0.30744802791666664,3614.0,102.0,1.0,7.824847814056447,0.2609710385798649
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.10781655991666667,0.30160559158333333,3195.0,92.0,1.0,8.906103286384976,0.23310490247759622
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.1,2,0.11589960775,0.31831083395,3371.0,100.0,1.0,8.428952832987244,0.2590976279298937
hyperplanes-projection,0.1,2,1,true,4,1000,6,drop3,0.25,2,0.12655845731666668,0.40954487306666665,4930.0,216.0,1.0,14.417038539553753,0.18135516911475041
