instanceSelection,lshMEthod,sizeBucket,ands,ors,imbalance,neigh,subBuckets,distance,isMethod,trees,depth,type,k,tp,tn,fp,fn,sensibility,specificity,precision,accuracy,F1,Gmean,wtdAcc,AreaROC,timeLSH,timeIS,buckets,buckMax,buckMin,buckAvg,reduction
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Train,1,499.0,1768598.0,499.0,1093.0,31.344221105527637,99.97179351951871,50.0,99.91009149545742,38.53281853281853,55.97801354453326,51.932492829724964,0.9957150458856316,3.5531530309666666,2.7129224594,4.0,1985990.0,120710.0,1005683.75,0.4400473806999467
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,10,Test,1,289.0,1003389.0,289.0,627.0,31.55021834061135,99.97120590468258,50.0,99.90881888603754,38.68808567603748,56.161493695119525,52.07651460983272,0.9862197405120028,3.5531530309666666,2.7129224594,4.0,1985990.0,120710.0,1005683.75,0.4400473806999467
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,20,Train,1,1305.0,1712181.0,1305.0,305.0,81.05590062111801,99.92383947111327,50.0,99.90612770363875,61.84834123222749,89.99675995196219,86.71628227611659,0.9991458372360081,3.126312203,1.2759669945166667,4.0,1997385.0,176836.0,1005683.75,0.4260268200614756
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,20,Test,1,392.0,1003383.0,392.0,524.0,42.79475982532751,99.96094742347637,50.0,99.90882768930945,46.11764705882353,65.40492899545005,59.944616104772166,0.9824976403398817,3.126312203,1.2759669945166667,4.0,1997385.0,176836.0,1005683.75,0.4260268200614756
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,30,Train,1,721.0,1229373.0,721.0,118.0,85.93563766388557,99.9413865932197,50.0,99.9318403194975,63.21788689171415,92.67430488490993,90.1373623426858,0.9992594918865272,3.0402776004,1.8616651800166666,4.0,1955702.0,184008.0,1005683.75,0.30581507357556487
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,10,30,Test,1,352.0,1003387.0,352.0,564.0,38.427947598253276,99.96493112253285,50.0,99.90882442231413,43.4567901234568,61.97940895845724,56.88904265553715,0.9859069551010587,3.0402776004,1.8616651800166666,4.0,1955702.0,184008.0,1005683.75,0.30581507357556487
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,25,10,Train,1,479.0,1775865.0,479.0,1079.0,30.744544287548138,99.97303450232613,50.0,99.91236862324246,38.07631160572337,55.4402866769044,51.51309135198154,0.9976173867773717,3.029885640033333,1.8345723209166667,4.0,2009476.0,126659.0,1005683.75,0.44184491397022174
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,25,10,Test,1,269.0,1003391.0,269.0,647.0,29.366812227074234,99.9731980949724,50.0,99.90881725225368,37.00137551581843,54.1838918516855,50.548727987443684,0.988768710130312,3.029885640033333,1.8345723209166667,4.0,2009476.0,126659.0,1005683.75,0.44184491397022174
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,25,20,Train,1,1364.0,1776124.0,1364.0,251.0,84.45820433436533,99.92326249178616,50.0,99.9092239178957,62.813723232788384,91.86587680574164,89.09772178159159,0.9991972860814623,3.4800740103333334,1.35251470465,4.0,2029676.0,124479.0,1005683.75,0.44192346749164435
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,25,20,Test,1,407.0,1003387.0,407.0,509.0,44.43231441048035,99.95945383216079,50.0,99.9088294134626,47.05202312138728,66.64405360548278,61.09045623698449,0.9877560800101224,3.4800740103333334,1.35251470465,4.0,2029676.0,124479.0,1005683.75,0.44192346749164435
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,25,30,Train,1,1574.0,1773907.0,1574.0,73.0,95.56769884638737,99.91134796711427,50.0,99.90732237632855,65.65172054223149,97.71539087501924,96.87079358260544,0.9999794247962209,3.4902259434833334,2.1484535025,4.0,2020033.0,127990.0,1005683.75,0.4413798075190138
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,25,30,Test,1,415.0,1003389.0,415.0,501.0,45.30567685589519,99.95865726775347,50.0,99.90883032088543,47.53722794959908,67.29557656430337,61.70157097945268,0.9902942058936836,3.4902259434833334,2.1484535025,4.0,2020033.0,127990.0,1005683.75,0.4413798075190138
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,50,10,Train,1,567.0,1679221.0,567.0,1030.0,35.504070131496555,99.96624574053392,50.0,99.90501877916122,41.523251556206525,59.575234783879246,54.84272281420777,0.9944578960795439,3.1834070901666665,3.0566118229333332,4.0,2010908.0,171728.0,1005683.75,0.4178311521887472
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,50,10,Test,1,285.0,1003392.0,285.0,631.0,31.113537117903928,99.97160441058229,50.0,99.90881879527332,38.35800807537012,55.77158976185868,51.77095730570744,0.9910650745155687,3.1834070901666665,3.0566118229333332,4.0,2010908.0,171728.0,1005683.75,0.4178311521887472
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,50,20,Train,1,717.0,1116743.0,717.0,92.0,88.62793572311496,99.93583662949904,50.0,99.92765604697975,63.93223361569327,94.11220380606841,92.02030599503018,0.9999588121790596,3.2352671551166665,1.4156315551,4.0,1947571.0,215682.0,1005683.75,0.27780900307875117
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,50,20,Test,1,376.0,1003382.0,376.0,540.0,41.04803493449782,99.96254077177966,50.0,99.90882614659084,45.08393285371702,64.05673942483472,58.72238668568237,0.9805494691253132,3.2352671551166665,1.4156315551,4.0,1947571.0,215682.0,1005683.75,0.27780900307875117
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,50,30,Train,1,978.0,1303559.0,978.0,10.0,98.98785425101214,99.92503087302238,50.0,99.92432163305949,66.44021739130434,99.45533868066926,99.26900723761521,0.9999961643764158,3.09803130055,1.82052640825,4.0,1996108.0,178253.0,1005683.75,0.32429354655476933
IS,hyperplanes,0.1,2,1,false,4,1000,6,entropy,50,30,Test,1,389.0,1003385.0,389.0,527.0,42.467248908296945,99.96124625662749,50.0,99.90882759856274,45.92680047225502,65.15427173995398,59.71544811279611,0.9847749332789677,3.09803130055,1.82052640825,4.0,1996108.0,178253.0,1005683.75,0.32429354655476933
IS,projection,0.1,2,1,false,4,1000,6,entropy,10,10,Train,1,442.0,713239.0,442.0,574.0,43.503937007874015,99.93806756800308,50.0,99.8578418546601,46.52631578947368,65.93708665210394,60.43417617591274,0.9940050927493524,2.64528484665,1.3122647933,10742.0,13096.0,1.0,374.486594675107,0.1775558171244191
IS,projection,0.1,2,1,false,4,1000,6,entropy,10,10,Test,1,298.0,1003384.0,298.0,618.0,32.532751091703055,99.97030932107978,50.0,99.90881924909267,39.41798941798941,57.02902059217965,52.76401856051608,0.9787919101453731,2.64528484665,1.3122647933,10742.0,13096.0,1.0,374.486594675107,0.1775558171244191
IS,projection,0.1,2,1,false,4,1000,6,entropy,10,20,Train,1,873.0,754766.0,873.0,162.0,84.34782608695653,99.88446864177206,50.0,99.86321718467927,62.783171521035605,91.7880046072702,89.0088188534012,0.9976122032893058,3.4762871971833333,1.6652461036833333,10591.0,9063.0,1.0,379.825795486734,0.18788336790765486
IS,projection,0.1,2,1,false,4,1000,6,entropy,10,20,Test,1,375.0,1003380.0,375.0,541.0,40.93886462882096,99.9626402857271,50.0,99.90882587434096,45.018007202881144,63.97153272039765,58.64599732589281,0.9780468830186227,3.4762871971833333,1.6652461036833333,10591.0,9063.0,1.0,379.825795486734,0.18788336790765486
IS,projection,0.1,2,1,false,4,1000,6,entropy,10,30,Train,1,887.0,725995.0,887.0,120.0,88.08341608738827,99.877971940425,50.0,99.8616547303229,63.79000359582883,93.79548475482679,91.62178284329929,0.9993543053978556,2.7872087039,1.4429774144666667,11758.0,11498.0,1.0,342.12748766797074,0.18072356245191393
